"AGUA BOA";"MG"
"AGUAS LINDAS DE GOIAS";"GO"
"AIMORES";"MG"
"ALAGOINHAS";"BA"
"ALCOBACA";"BA"
"ALEM PARAIBA";"MG"
"ALMENARA";"MG"
"ALTEROSA";"MG"
"ALTO JEQUITIBA";"MG"
"ALVINOPOLIS";"MG"
"ANDRELANDIA";"MG"
"ANGELANDIA";"MG"
"ANTONIO DIAS";"MG"
"APARECIDA DE GOIANIA";"GO"
"ARACRUZ";"ES"
"ARACUAI";"MG"
"ARARAQUARA";"SP"
"AREADO";"MG"
"ARICANDUVA";"MG"
"ARMACAO DOS BUZIOS";"RJ"
"ARRAIAL DO CABO";"RJ"
"AUTAZES";"AM"
"BAEPENDI";"MG"
"BALDIM";"MG"
"BAMBUI";"MG"
"BARAO DE COCAIS";"MG"
"BARBACENA";"MG"
"BARRA DE SAO FRANCISCO";"ES"
"BARUERI";"SP"
"BELO HORIZONTE";"MG"
"BELO VALE";"MG"
"BERILO";"MG"
"BERTIOGA";"SP"
"BETIM";"MG"
"BEZERROS";"PE"
"BHTE";"MG"
"BOA VISTA";"RR"
"BOCAIUVA";"MG"
"BOM DESPACHO";"MG"
"BOM JARDIM DE MINAS";"MG"
"BOM JESUS DO AMPARO";"MG"
"BONFIM";"MG"
"BONITO DE MINAS";"MG"
"BRAGANCA PAULISTA";"SP"
"BRASILIA";"DF"
"BRASILIA DE MINAS";"MG"
"BREJETUBA";"ES"
"BRUMADINHO";"MG"
"BUENOPOLIS";"MG"
"BUERAREMA";"BA"
"BUJARU";"PA"
"BURITIZEIRO";"MG"
"CACHOEIRO DE ITAPEMIRIM";"ES"
"CAETANOPOLIS";"MG"
"CAETE";"MG"
"CAFARNAUM";"BA"
"CAMARAGIBE";"PE"
"CAMBUI";"MG"
"CAMPINAS";"SP"
"CAMPO GRANDE";"MS"
"CANDEIAS";"MG"
"CANOAS";"RS"
"CAPELINHA";"MG"
"CAPITAO ENEAS";"MG"
"CARANDAI";"MG"
"CARANGOLA";"MG"
"CARAVELAS";"BA"
"CARIACICA";"ES"
"CARLOS CHAGAS";"MG"
"CARMO DO CAJURU";"MG"
"CARMO DO PARANAIBA";"MG"
"CARRANCAS";"MG"
"CARUARU";"PE"
"CASTELO";"ES"
"CATAGUASES";"MG"
"CATALAO";"GO"
"CATAS ALTAS";"MG"
"CHAPADA GAUCHA";"MG"
"CIDADE OCIDENTAL";"GO"
"CLARO DOS POCOES";"MG"
"CLAUDIO";"MG"
"COARI";"AM"
"COMERCINHO";"MG"
"CONCEICAO DO MATO DENTRO";"MG"
"CONSELHEIRO LAFAIETE";"MG"
"CONTAGEM";"MG"
"CORACAO DE JESUS";"MG"
"CORDISBURGO";"MG"
"CORINTO";"MG"
"CORONEL FABRICIANO";"MG"
"CORUMBA";"MS"
"COTIA";"SP"
"COUTO DE MAGALHAES DE MINAS";"MG"
"CRATO";"CE"
"CRISTALIA";"MG"
"CRISTALINA";"GO"
"CURITIBA";"PR"
"CURVELO";"MG"
"DESCALVADO";"SP"
"DIADEMA";"SP"
"DIAMANTINA";"MG"
"DIOGO DE VASCONCELOS";"MG"
"DIVINO";"MG"
"DIVINOLANDIA DE MINAS";"MG"
"DIVINOPOLIS";"MG"
"DOM SILVERIO";"MG"
"DOMINGOS MARTINS";"ES"
"DONA EUSEBIA";"MG"
"DORES DO INDAIA";"MG"
"DOURADOS";"MS"
"ENGENHEIRO NAVARRO";"MG"
"ESMERALDAS";"MG"
"ESPINOSA";"MG"
"EUCLIDES DA CUNHA";"BA"
"FEIRA DE SANTANA";"BA"
"FELICIO DOS SANTOS";"MG"
"FELIXLANDIA";"MG"
"FLORESTA AZUL";"BA"
"FLORESTAL";"MG"
"FLORIANOPOLIS";"SC"
"FORMIGA";"MG"
"FORMOSA";"GO"
"FRANCISCO DUMONT";"MG"
"FRANCISCO SA";"MG"
"FUNILANDIA";"MG"
"GOIANIA";"GO"
